id,quote,character,train
854,"I love Halloween. You know, it’s just, it’s just fun. Every year, it’s just fun. Last Halloween I came as Janet Jackson’s boob. It was topical. People got a… a big kick out of it. The year before that, I came as Monica Lewinsky, and I wore a stained dress. The year before that, I also came as Monica Lewinsky. And before that, I was O.J. It was pretty funny. Oh, I wish you were here last year.",Michael,True
855,"No, it was a tough audience.",Michael,True
856,No you would not.,Michael,True
857,So…,Jim,True
858,…never been lower!,Dwight,True
859,You wait until next year’s chair catalog comes out and you find someone who’s still alive.,Dwight,True
860,Okay. All right.,Michael,True
861,Okay…,Pam,True
862,"Michael’s birthday is hard for me because he gets very excited. But he’s also under a lot of pressure, which builds up until he’s ready to explode. As his right-hand man, it’s my job to release that pressure so that he can enjoy himself, if only for a moment.",Dwight,True
863,Sally.,Jim,True
864,"Okay, moving along. Meredith, let’s go.",Dwight,True
865,"Yep, Spongebob Squarepants.",Jim,True
866,How’s it going? Everything make sense?,Pam,True
867,There is no book. There’s only a survival guide.,Dwight,True
868,You wouldn’t understand. It’s a secret.,Michael,True
869,"Oh great. Um, no, this weekend? Nothing. I’m not really doing anything.",Pam,True
870,"Yes! Because with all of your support, by this time next year maybe I’ll be down to one glass of iced tea a week.",Pam,True
871,"No. Dunder Mifflin, this is Pam. Okay, go ahead.",Pam,True
872,"Yeah, I know.",Jim,True
873,We have an awesome bean bag chair that’s perfect for the break room.,Dwight,True
874,"Well, if this is in fact her because it is a very common name.",Dwight,True
875,I fell off the toilet. I’m caught between the toilet and the wall.,Michael,True
876,"I’ve got a Madlib for you: a stupid, idiotic, numbskull named Andy Bernard sold his Xterra to a smart and capable man named Dwight. This is shaping up to be an awesome day for Dwight.",Dwight,True
877,You’re really putting me in an awkward position here.,Dwight,True
878,"Hey, um… what has two thumbs and hates Todd Packer? This guy!",Jim,True
879,That would be bad.,Michael,True
880,Go get ’em.,Jim,True
881,"No, no, no. I want you to make the decision so I’m not the bad guy.",Michael,True
882,Yep.,Michael,True
883,"Oh, man I don’t know. Uh, dinner, drinks, movie, matching tattoos.",Jim,True
884,"No, that’s skeptical. Do sad.",Michael,True
885,Well power through the arthritis Phyllis you can do it!,Michael,True
886,"I’m not blind! I know exactly who he is. He is selfish and lazy and image-obsessed, and he is a bad friend. And he’s also clever. And he shoots incredibly high. And he may just make it. But you know what? Even if he doesn’t, I would rather go broke betting on my people, than get rich all by myself, on some island like a castaway. And there is no middle ground.",Michael,True
887,That’s what she… a lot of places are like that.,Michael,True
888,My Indian Culture Seminar was going great until Toby decided that he was too immature to deal with culturally explicit images. It’s just sex. People… everybody does it. I’m doing it… with Carol! Probably tonight.,Michael,True
889,"What’s that, pipsqueak?",Michael,True
890,"Oh, you know what else? I thought of a nickname for the three of us. Three Musketeers.",Dwight,True
891,There’s no downsizing.,Michael,True
892,That-,Dwight,True
893,And laughter… also.,Michael,True
894,"Dwight, I will be leaving tomorrow.",Michael,True
895,"He has more character in a single flake of his dandruff then you have in that entire snow bank on your shoulder. Wait, what was the question?",Dwight,True
896,Looks great.,Pam,True
897,Dwight?,Jim,True
898,"At Dunder-Mifflin there is a very strict no lunch with the boss policy and I don’t know who instituted it. I think it started right after my predecessor stepped down, but at the Michael Scott Paper Company I really enjoyed having lunch with Pam and Ryan everyday. So, rules be damned, I wanna have lunch with these people.",Michael,True
899,"Oh bud, I know. Do you have a pacifier or anything?",Jim,True
900,Hey!,Pam,True
901,"Brrrp! Uh, Spock, are there any signs of life down there? Well, let me check Captain. Eeee. Eeee. Eeee. Eeee. No, Captain. No signs of life down here. Just a wet blanket named Pam. Brr-rrrp. Star Trek.",Michael,True
902,I am a Sith Lord. Oh big deal. Three round pieces of paper taped to a shirt. This cost me 129 dollars.,Dwight,True
903,"That’s what you’re going to do, Luke!",Michael,True
904,"Okay, okay… here’s the thing. There was one true rumor out there today. I didn’t want everybody to know what it was. So all of you are off the hook, except for this one person.",Michael,True
905,"Wait, wait a minute, what’s this, I didn’t order this?",Dwight,True
906,Green walls.,Jim,True
907,"There is stink in there, my God! What is… what is that?",Michael,True
908,Lake Erie.,Dwight,True
909,Made copies of it-,Dwight,True
910,"Uhhh, the street?",Jim,True
911,Um.,Michael,True
912,"Catch you guys- Catch you guys on the filippity flip. Flippity flip! Flippity flip! Really? Okay, see ya guys!",Michael,True
913,"Ooh. Ouch. Okay, good. You’re funny, very good and funny. Tell me, A.J., are you dating? Is there somebody you date?",Michael,True
914,"No, I mean Afghanistanis with AIDS.",Michael,True
915,Hmm?,Pam,True
916,I think it is. A guy told me about that.,Michael,True
917,"It’s like, you know, the dog shouldn’t have been outside in the first place. Anyway, it’s a tragedy, really, because the paint is not gonna come off the dog until it sheds…",Michael,True
918,"… Aww, that… sucks, great. … Wow, that’s good timing. That’s… that’s, sorry, that’s terrible. Terrible news. That’s terrible… terrible news for both of us .",Michael,True
919,Okay.,Pam,True
920,Really?,Pam,True
921,"Yes, exactly. Riddle number two: Who is going-",Dwight,True
922,"All right. All right, just …stay focused on the pill.",Dwight,True
923,"You used my move, didn’t you?",Jim,True
924,Those are just things. This is how I want it to feel.,Michael,True
925,"One of the hardest parts about making resolutions is keeping them. In fact, most resolutions are abandoned by February.",Pam,True
926,Oh do you mean when I get the job?,Jim,True
927,Damn.,Jim,True
928,Am I going down a road?,Jim,True
929,Do you own a gun?,Dwight,True
930,"There is no reason for anyone here to sign this, because I know everything there is to know about these people. I know when their birthdays are, I know what their favorite kind of cake is, I know what color streamers they like…",Michael,True
931,That is a great idea.,Pam,True
932,"Dunder Mifflin is having our first own garage sale. Like many Americans, we realized we had a lot of things that we really didn’t need. And 10 cents of every dollar is going into the party fund so we can throw parties for ourselves.",Pam,True
933,It was two.,Pam,True
934,Okay! You know what? Might! Might be crawling with herpes. I might have gotten it after her.,Michael,True
935,Yeah.,Jim,True
936,...,Jim,True
937,Yeah?,Pam,True
938,What would Bob do?,Jim,True
939,"Yeah, it’ll be good. You know what? Why don’t you come by? Bring the papers, I’ll sign them and then you can stay and have a drink.",Michael,True
940,"I have a recurring nightmare that I’ve been wrongly accused of a crime and twelve of these idiots are on the jury. Stanley is fast asleep, Kevin eats the evidence, Phyllis’s name is Allison but it really is Phyllis, Jim is foreman of the jury and pronounces me guilty. The cop takes me away and tells me that I’ve been a bad boy and we have sex in the hall. She leaves the handcuffs on. They take me away to prison. The guards are all women.",Dwight,True
941,MIS… MI… What are you doing?,Dwight,True
942,"This is disgusting, what is it this, instant?",Dwight,True
943,"Thank you. You know what, screw this!",Jim,True
944,Yikes.,Jim,True
945,We’re party girls.,Michael,True
946,I did not say that to make you feel good. I just said it. Total integrity.,Michael,True
947,Do I have any messages?,Michael,True
948,"All right, fine. Brrring.",Dwight,True
949,Like Michael Scott Paper Company?,Pam,True
950,"Well, that’s because you and I have very different tastes and you like lame things. It’s a generational– sort of gap between us.",Michael,True
951,What’s the ratio of Stanley Nickels to Schrute Bucks?,Dwight,True
952,I was aware that you were speaking.,Dwight,True
953,I think I did a pretty good job.,Jim,True
954,"Ever since I was a little kid, like, eight or nine, I could sort of control things with my mind.",Jim,True
955,What does it look like?,Dwight,True
956,I need new shoes.,Pam,True
957,"Okay, Michael. Come on. Let us out.",Jim,True
958,"Never ever, ever sleep with your boss. I am so lucky that Jan and I only got to second base.",Michael,True
959,"Why would they all be…? Ok, see you later, Pan.",Dwight,True
960,Hey.,Jim,True
961,What does it say?,Dwight,True
962,"Okay fine. Ryan, something the matter?",Pam,True
963,What?,Dwight,True
964,"Hey, Isabel, you made it. Oh, my goodness.",Pam,True
965,Ummm… I don’t know.,Michael,True
966,"Yup, it’s, uh, four o’clock.",Jim,True
967,"The Search Committee finally decided, after a lot of deliberation, on Robert California… for the manager position. Who took one look around and left.  He drove down to Florida and convinced Joe to make him CEO… CEO… her own job. He talked her out of her own job. And I don’t really know how someone does that. But, anyway, then the position was his to fill.   And he chose…",Jim,True
968,"Yeah… you are… ah, so right. They had visual aids. And all we had were the facts. You don’t go to the science museum and get handed a pamphlet on electricity. You go to the science museum and you put your hand on a metal ball, your hair sticks up straight… and you know science.",Michael,True
969,Back door.,Jim,True
970,Summer. Winter. Jungle. Formal.,Dwight,True
971,Oh. You waiting for a call?,Michael,True
972,"So, umm… thanks for coming by. So, I, uh…",Michael,True
973,Hed. Hedded,Michael,True
974,"No, no. I don’t want to end up like Sunny Bobo.",Michael,True
975,"Coming through. Che, che, che, che, che, che. Excuse me. Excuse me. Excuse me. Excuse me. Ah. Damn it. Wha- okay",Dwight,True
976,OK.,Michael,True
977,Do you think I’m calling you for your best approximation?,Jim,True
978,"A guy goes to a five dollar… lady of the night and he gets crabs. So, the next day he goes back to complain. And the woman says “Hey. It was only five dollars. What did you expect? Lobster?” This is what’s at stake.",Michael,True
979,It takes a big man to admit his mistake and that’s what I did. The important thing is I learned something. I don’t want somebody sucking up to me because they think I’m going to help their career. I want them sucking up to me because they genuinely love me. Hmm.,Michael,True
980,"Okay, so, when you’re selling to this woman, just imagine that she’s that nice, reasonable barber.",Pam,True
981,"Are we going some place far away? I know you said no questions, but… I have an early dinner that I need to get to… with the Chief of Police.",Michael,True
982,"Damn it, Pam. Get out. Right now. Leave it, I mean it. Get the hell out of here. Go.",Dwight,True
983,What are you doing?,Michael,True
984,"I love it, conservation. Let’s start by conserving our time and stop having these stupid meetings. No more meetings! No more meetings! No more meetings! No more meetings!",Pam,True
985,Bull… Sorry.,Dwight,True
986,"Well, of course not, but does physical appearance include smell?",Pam,True
987,Alright. No more meetings this week.,Michael,True
988,"A dart? Are you kidding me? Who would put a poison dart, well, I mean, I don’t know that it’s poison. I mean, I just have to imagine. God, I’m glad he’s OK though. Kinda sounds like he deserved it, opening another man’s treasure and all. Wow!",Dwight,True
989,"I don’t… Let’s just not talk about it, okay?",Michael,True
990,"Come on. Let’s not be gloomy here man. We’re all in this together. We’re a team. You know what? Screw corporate, nobody’s coming in tomorrow. You have the day off. Like coming in an extra day is gonna prevent us from being downsized. Have a good weekend.",Michael,True
991,Yeah?,Jim,True
992,"I am talking about, how you all need to sell an experience. Like I sold you on the idea that my father had died.",Michael,True
993,"You’re looking at the master of leaving parties early. They key is, you have to make a strong impression, so you want to have a picture taken, you want to say some peculiar non sequitur that people remember, you want to note something unique, a talking point, for later. I don’t mean to brag, but New Year’s Eve, I was home by nine.",Jim,True
994,"Oh, well, doesn’t surprise me.",Dwight,True
995,"Oh, my God.",Michael,True
996,Different guy.,Dwight,True
997,Come on. A little bit.,Michael,True
998,Thanks!,Pam,True
999,"Oh, man. Him? That guy? He had no sense of humor and I proved him wrong in so many ways.",Michael,True
1000,Well I’ll just… I’ll use different money for that.,Michael,True
1001,"I hate the idea that someone out there hates me. I even hate thinking that Al-Qaeda hates me. I think if they got to know me, they wouldn’t hate me. But Karen knows me, and she still hates me, so…",Pam,True
1002,"How would you have wanted to do it? Okay, okay. You know what? Inappropriate. I am engaged happily, and you have landed yourself a Senator.",Michael,True
1003,Well now you can’t call me at all. Problem solved.,Dwight,True
1004,"Roy and I just got back from the Poconos. I get ten vacation days a year, and I try to hold off taking them for as long as possible, and this year I got to the third week in January.",Pam,True
1005,"Well, Oscar, if you don’t like it, then you should concentrate on winning. Because the person at the end of the evening with the highest chip count will receive $500 to donate to the charity of their choice. And they will get a mini-fridge compliments of Vance Refrigeration.",Michael,True
1006,I thought that was called Nasty Christmas.,Jim,True
1007,"Okay, fine! Good! A duel! The winner gets Angela.",Dwight,True
1008,That’s regular pizza.,Pam,True
1009,You get to look at her. Why don’t you hold out your hand. Tell me what you feel.,Michael,True
1010,"Have Pa–adge do it, or… the sea monster.",Michael,True
1011,Ha! I don’t get it.,Dwight,True
1012,That’s an exaggeration.,Dwight,True
1013,"Oh, man.",Dwight,True
1014,Really?,Michael,True
1015,"She’s right, it works. I would imagine.",Pam,True
1016,What if they made out? In front of everybody?,Michael,True
1017,Michael and Jan seem to be playing their own separate game and it’s called ‘Let’s see how uncomfortable we can make our guests’ and they’re both winning. So I’m going to make a run for it.,Jim,True
1018,They don’t know that!,Michael,True
1019,"It just goes to show you, you play with fire and you are gonna singe your eyebrows. And they do not grow back the same way.",Dwight,True
1020,Yeah.,Jim,True
1021,So why is this on your resume?,Dwight,True
1022,One. Two. Three.,Michael,True
1023,I’m not going to cry. I feel like it but I am not going to. Why don’t you just take your stupid love contract and tear it up into a million little pieces.,Michael,True
1024,Are you kidding me? We’ve been driving around with this stuff in the trunk the whole time?,Jim,True
1025,We can relax.,Pam,True
1026,"Right, Yes, yeah. Best friend/mentor.",Michael,True
1027,What was Oprah about?,Pam,True
1028,Yeah. It’s practical.,Dwight,True
1029,Me too!,Pam,True
1030,"I am. I’m definitely going to do it. I’ve already got the run and the bike thing down. Just need to learn how to swim. Come on, you in?",Michael,True
1031,Okay.,Jim,True
1032,Rachel thinks that I brought homemade potato salad and I just picked it up at the supermarket. It’s funny. I wish I could make potato salad that good. It’s just potatoes and mayonnaise. There is something wrong with Jan.,Michael,True
1033,"Alright, I would now like to talk about each of your individual religious beliefs.",Michael,True
1034,"Pam really needed some help with the kids, so, I promise my intentions were good.",Jim,True
1035,De-fense! De-fense!,Dwight,True
1036,"I… love it!! Haha, come on!",Michael,True
1037,Mmmhmm. Why don’t you start by telling me what you got.,Jim,True
1038,"Oh, tell him I say hi.",Jim,True
1039,"Can you hear me, they talk about us…",Michael,True
1040,That’s it. I think we should do it the Lethal Weapon way.,Jim,True
1041,Keep.,Michael,True
1042,"Okay, so. I get up to the building, I get to the revolving door… broken! So I have to take the normal door.",Michael,True
1043,Give me the phone. Tell him Dwight Schrute wants to talk to him.,Dwight,True
1044,I’ve been warned.,Pam,True
1045,Bye.,Pam,True
1046,Because the insurance company only covers two nights.,Jim,True
1047,"I’m fine, okay? It’s just stress. You know, ’cause I care about this project. And frankly the fact that none of you are vomiting or diarrheal right now I find very alarming.",Dwight,True
1048,"Good work, Stanley. Great performance review. Stanley in the house, everybody. Woo! Angela, your turn.",Michael,True
1049,Really?,Jim,True
1050,He’s not a real candidate.,Jim,True
1051,Just say you wanna get back together.,Michael,True
1052,"Happy Earth Day, everyone. I’m Recyclops. Did you know that an old milk carton can be sawed in half and used as a planter?",Dwight,True
1053,"For now, yeah. I was spreading myself way too thin—",Jim,True
1054,"Well, you have…",Dwight,True
1055,"No, it’s alright. It’s already up. Just leave it. Where’s Kevin? Come on! Let’s get our skate on!",Michael,True
1056,And how big do you want this robot?,Dwight,True
1057,"Ok, Pam, thanks.",Dwight,True
1058,"I love you guys, so much.",Michael,True
1059,Come on! Ow! Ah! Aah!,Dwight,True
1060,"Renters. Ok, I’m gonna need you to gather your belongings, retreat to the warehouse, conduct your business there until the infected have been deloused. Let’s get going. I’m gonna stay here and fight. If you don’t hear from me by lunch, call me. I might want lunch.",Dwight,True
1061,"Okay, “A,” Halbert. And, “B,” I think a more appropriate statement would be, “The ‘Halberts’ are hosting an intimate reception for their invited guests.”",Jim,True
1062,It’s a pen.,Jim,True
1063,"Sometimes I’ll start a sentence, and I don’t even know where it’s going. I just hope I find it along the way. Like an improv conversation. An improversation.",Michael,True
1064,Wha…Yes. Your attention. Uh because… No that is all.,Dwight,True
1065,"Plus, improves your reflexes see, I would have caught that.",Dwight,True
1066,Whoa!,Dwight,True
1067,Don’t take her side.,Pam,True
1068,She’s foreign. I am–,Michael,True
1069,Alright!,Michael,True
1070,Okay.,Michael,True
1071,Because my car broke down.,Jim,True
1072,"Well, obviously. Too bad he’s a temp and doesn’t count, so let’s get started.",Jim,True
1073,"Ha ha. No, yeah, that will be good.",Jim,True
1074,"I don’t really know Ronnie. But I have a feeling I will get to know her very well over the next few years, and eventually declare my love for her.",Jim,True
1075,I’ve said too much.,Dwight,True
1076,"Wet cement, outside. It’s drying fast, come on. This is a lifelong dream. What do I write? What do I write?",Michael,True
1077,"Very much, Jim is my best friend. But it’s his performance report… right here. Now this was written by Toby, who we all know is extremely reliable.",Michael,True
1078,"The guys at Athlead are still bugging me about this three month roadshow thing. Meeting athletes on their home turf, building relationships. Yeah, it sounds exciting. But I said no, and that’s final. I almost lost Pam over this business. I’m not risking that again.",Jim,True
1079,Hey guys.,Pam,True
1080,"Yes, but they are both in danger.",Pam,True
1081,"Yeah. Frank draws a butt on your mural, I’m drawing your mural on Frank’s truck’s butt. Eye for an eye, mamacita.",Dwight,True
1082,"Andy, it’s the last day of the quarter. We’ve already called all our clients, so making that much in a day is going to be tough.",Jim,True
1083,Bye! Hey.,Pam,True
1084,That’s okay.,Michael,True
1085,That could not possibly be it.,Michael,True
1086,Hey.,Michael,True
1087,"What time is it here? Um, we’re in the same time zone.",Jim,True
1088,You mean me?,Pam,True
1089,What’s that?,Jim,True
1090,"No, don’t give him… just, did you hear anything I said?",Michael,True
1091,And I took a bong hit from my Bong Water with my pimp.,Pam,True
1092,"No, no, that guy who hit on me.",Pam,True
1093,Why’d you do that?,Jim,True
1094,I didn’t… I didn’t think you needed them for this part.,Dwight,True
1095,Yeah.,Pam,True
1096,"It’s a little, uh, personal.",Jim,True
1097,"If anyone can do this, you can do this.",Jim,True
1098,"I am talking about freedom, about choice. America, I don’t think you need to worry. Because if you want to beat China you will. If you don’t, that’s fine. That my friend, is your victory. Y’know, a lot of people say if you dig long enough and hard enough you will get to China, and that may be the true, but what they don’t tell you is that if you dig long enough and hard enough in a conversation, you get to a friend. So here is to conversation.",Michael,True
1099,I think you need to go to Florida.,Pam,True
1100,Walking out of the room unexpectedly.,Michael,True
1101,Did somebody call Hank?,Pam,True
1102,"Hey, smooth guys.",Pam,True
1103,"Hey, Josh, how ya doing?",Michael,True
1104,Yes.,Dwight,True
1105,What’s going on?,Jim,True
1106,No? Good. Did anyone get drunk already?,Michael,True
1107,Jim’s at the dentist this morning. And Steve is an actor friend of ours.,Pam,True
1108,"Yes. You guys, I have the perfect idea. Ok, it will just take me ten minutes.",Pam,True
1109,Here?,Pam,True
1110,"You mean, like a ham?",Dwight,True
1111,No. Michael. Michael.,Jim,True
1112,"Yes, it is The Island Luau Inventory ’07. It’s actually a success compared to Disco Audit ’05.",Pam,True
1113,But check that it’s covered by your health care provider!,Dwight,True
1114,I just wanted to get out of my room for a little while.,Pam,True
1115,"Okay. All right, Dwight. Take my money. Go ahead. Keep in mind that this whole thing was just a business transaction. The late nights, the talks, the slumber parties, the crying jags, that was all business, that had nothing to do with friendship, and being friends. Just ring me up. Go ahead .",Michael,True
1116,Let’s face it. Moving to a new job can be very stressful. So I have made an orientation video especially for you newcomers. But it’s not like any orientation video that any of you have ever seen. It’s funny. It’s got a little bit of a zing to it and I hope that it gives you a flavor of what we’re all about here at Dunder Mifflin. And what we’re all about here in Scranton. So let’s just all laugh together and watch “Lazy Scranton”.,Michael,True
1117,And they ended up turning the break room into a lactation room which is disgusting so…,Michael,True
1118,You’re 58 years old?,Michael,True
1119,I look forward to hearing from you about that job application.,Dwight,True
1120,I’m right here.,Michael,True
1121,"That’s it, last one.",Pam,True
1122,"And oh, Jim…",Michael,True
1123,"Oh hey! Dwight, would you take my grandmother for a walk while I talk to Helene?",Michael,True
1124,"Michael, stop.",Pam,True
1125,"But you’re engaged. Aren’t you and maybe you’ve set a date for the wedding, hmm? And because you know you’re going to get married you don’t have to take our health care plan seriously.",Dwight,True
1126,"I was in Los Angeles last year. Jim tricked me into thinking I’d won a walk-on part on NCIS, but that’s not important. While I was being kicked off the lot, I saw food trucks everywhere. Everyone in Los Angeles eats from them. And nobody calls them restaurants.",Dwight,True
1127,What the heck is going on?! The stock prices are plummeting! Are you gonna take control of the message or do I have to send in someone who understands the media?!,Jim,True
1128,It was. It was. And then in an instant it wasn’t.,Michael,True
1129,I’m done talking. I am a Schrute. We don’t back down.,Dwight,True
1130,Love you.,Pam,True
1131,"Okay, fine. Hurry back.",Michael,True
1132,"Erin, it’s not up to you. This computer was for reception! Okay? It’s not yours to give away.",Pam,True
1133,Oh. Thank you… but nobody’s perfect.,Pam,True
1134,Just wanted to draw a picture of him.,Michael,True
1135,"Well the invitation says VIP’s only. Is this how you treat your VIP’s, Ryan? We’re already in the city. The main part with the buildings. What am I supposed to do? What do you want me to do tonight? And if you tell me, that I have to drive back to Scranton, to the satellite party, I am going to throw up! Okay I’m going to throw up. I’m throwing up. You’re making me throw up, Ryan.",Michael,True
1136,You’ll feel better after the 5k. Exercise is good for depression.,Dwight,True
1137,"0-1-7-5. Thank you. Bye, bye. It really makes us look unprofessional.",Pam,True
1138,Just getting warmed up. Mistakes are just successes that you mess up.,Michael,True
1139,Great.,Pam,True
1140,Listen to me. I like you so much.,Michael,True
1141,Well you know what? My mom always used to say that average people are the most special people in the world. And that’s why God made so many.,Michael,True
1142,"Um, ok.",Jim,True
1143,"No, Pam. The press is just gonna find out by themselves.",Michael,True
1144,You gotta be kidding me. Who isn’t jumping?,Jim,True
1145,Darryl. Noble Darryl.,Michael,True
1146,I’m gonna need two able bodied men.,Dwight,True
1147,She’s not gonna say no.,Pam,True
1148,"Now, Jim!",Dwight,True
1149,"Okay, I’m gonna head back.",Pam,True
1150,"Hmm… Well, maybe the CIA can send a helicopter?",Jim,True
1151,I do.,Michael,True
1152,"Okay, you are never going to believe this. The girl in the video we’re watching that Corporate gave us… Darryl banged her! Aaand is about 90% sure.",Michael,True
1153,I will grab you here anyway.,Michael,True
1154,"Well, I am a few months ahead of you.",Pam,True
1155,"Yeah, me too.",Pam,True
1156,"They lay their eggs inside the unripe beet root, then come spring time the babies eat their way out.",Dwight,True
1157,"You know, I want this to be cutting edge. I want it to be fast, quick cuts, you know, youthful, sort of a MTV on crack kind of thing.",Michael,True
1158,Oh. Okay. Fine. Well done.,Dwight,True
1159,"Well, I can’t really imagine you yelling at anyone.",Pam,True
1160,"Well, how could you, if it just erased your memory?",Jim,True
1161,"No! Thank you, spoiler alert. You saw the movie, those of you who did. They’re happy down there in the furnace room. And they’re dirty and grimy and sweaty, and they’re singing their ethnic songs, and… actually, that might be warehouse.",Michael,True
1162,"Well, I’m not an artist, and I’m not a salesman. So what would you call it?",Pam,True
1163,"I tried hopping, Kevin, and I bumped my elbow against the wall and now my elbow has a protruberance.",Michael,True
1164,"Okay. Well, then let’s act it out. Pam, you will be girl A and girl B will be… Okay! We’ll use the doll. Pam. Pam?",Michael,True
1165,Ugh.,Michael,True
1166,"Come on, let’s go. Creed, Kevin, Oscar… andale! Let’s go.",Dwight,True
1167,"Post-it Notes? What are those worth, 50 cents?",Pam,True
1168,Okay.,Michael,True
1169,No you didn’t.,Michael,True
1170,We’re not-,Michael,True
1171,"That’s just a figure of speech, you know? Blow your brains out? Come on. All it really means is that we’re friends. Who else is she gonna talk to if I’m gone, right? I mean, if she left, I wouldn’t blow my brains out. Of course, I would take that job in Maryland. Because it’s double the pay, and soft shell crab just happens to be my favorite food.",Jim,True
1172,"Yeah, I filled out the expense reports. That took about five minutes and then I closed two sales at lunch time. So, about as productive as any other day. If not more so.",Jim,True
1173,"I do, too. I do, too.",Michael,True
1174,"Yeah, definitely. You too. Enjoy it. You know what, just come here.",Jim,True
1175,Don’t…,Michael,True
1176,Good. The Small Business Man?,Michael,True
1177,Keeping it simple -that’s what I’m doing. But I am working hard on this one. Real hard.,Jim,True
1178,Did you murder someone?,Jim,True
1179,Yeah.,Jim,True
1180,Ohhh happy birthday Jim!,Michael,True
1181,Let me get your stroller.,Michael,True
1182,That’s great.,Pam,True
1183,"STANLEY HUDSON AND HIS MISTRESS CYNTHIA! JAMES, PAMELA, AND PEEPEE HALPERT!",Dwight,True
1184,"Is she hot? Text back, “Kind of.”",Dwight,True
1185,All right.,Jim,True
1186,...,Michael,True
1187,"Oh, I can do that.",Jim,True
1188,This is all we need.,Michael,True
1189,Yes! Thank you.,Dwight,True
1190,I think you did.,Jim,True
1191,"Uh, I can’t get a handle on it. Am I cheap or rich? I can’t…",Jim,True
1192,I’m going to take off actually.,Jim,True
1193,Wow.,Jim,True
1194,Right?,Dwight,True
1195,Who is it?,Jim,True
1196,"Wait, canine AIDS?",Dwight,True
1197,"Have I not proposed to you, yet?",Jim,True
1198,Oh hey! Good for you. Good for you. Scranton power. Alright you know what? Angela I’d like you to come into my office in ten minutes. Bring something to write with and something to write on. Good.,Michael,True
1199,"Ok, new idea. We don’t report it at all. We just punish her.",Michael,True
1200,That’s what she said.,Michael,True
1201,Volunteer duty.,Jim,True
1202,"I would like your undivided attention, please.",Michael,True
1203,Yes! Yes! All right. We got game!,Michael,True
1204,"Ok. Great meeting, everybody. That’s it.",Jim,True
1205,Eat it! You gotta eat it. You have to eat it!,Dwight,True
1206,What about before? Was I attractive before?,Pam,True
1207,How old do you think I am?,Jim,True
1208,Mm. mm. Oh well.,Michael,True
1209,See you in a few months.,Michael,True
1210,"Oh, you wanna go today?",Michael,True
1211,"All right, so just pack your bags and, uh, be sure to bring those swimming trunks! Bye now!",Jim,True
1212,Hmm.,Michael,True
1213,"There’s this one hanging part in particular, that’s some sort of flap.",Dwight,True
1214,You’re being disrespectful!,Dwight,True
1215,"Alright, wait, little bit of backstory, she loves dogs. She calls them ‘da-das’.",Jim,True
1216,I stole. … And I robbed. And I kidnapped… the… president’s son. And held him for ransom.,Michael,True
1217,"Pfft… Her chart doesn’t indicate that she had a hysterectomy but she did, or at least she got time off for one.",Dwight,True
1218,"Well how do you think I feel? I mean I have to play Caleb Crawdad, handsome playboy. Every night, a different woman. Being oogled. Having to hug and kiss and spoon, I make them feel beautiful.",Michael,True
1219,Thank you. What would you improve about Dunder Mifflin?,Michael,True
1220,It’s still me.,Pam,True
1221,"“Don’t…” Okay, that’s blank. Don’t. Just…",Michael,True
1222,I think if you ordered hot food you’re allowed to eat.,Jim,True
1223,"Thanks for the ride. OK. Leave me be, Dwight.",Michael,True
1224,I really don’t know. How you doing with all this?,Jim,True
1225,"Because, um, cause I’ll never wonder ever again. If I did something wrong and… Now I have closure. She’s happy and, I don’t know, it feels good.",Pam,True
1226,Michael?,Pam,True
1227,"I’m sorry I said that, I didn’t… just part of me meant it. Besides, he’d end up being a hero anyway.",Dwight,True
1228,"Oh, all my stuff is still upstairs so…",Pam,True
1229,Damn it guys!,Jim,True
1230,You do.,Pam,True
1231,"Hey, congratulations on that black belt, man. It’s really great.",Jim,True
1232,"I just want to say for the record, I did not kill anyone. Stanley was attacked by his own heart. And he should be released from the hospital and back in the office in a couple days.",Dwight,True
1233,Hey! Just in time! You wanna go on the group tour? We were just about to leave.,Jim,True
1234,Jim.,Pam,True
1235,No.,Dwight,True
1236,"Ah, show me how this works.",Jim,True
1237,It wasn’t that long ago. It was on the booze cruise.,Michael,True
1238,"Aw, it’s gonna be the worst.",Jim,True
1239,I’m…,Michael,True
1240,Roy…,Pam,True
1241,What?,Dwight,True
1242,"Oh today, we saw a junk yard dog attacking the bones of a rotisserie chicken.",Jim,True
1243,"Oh Jim, Jim! Sorry to bother you.",Dwight,True
1244,I work with a bunch of nerds.,Michael,True
1245,"Phyllis, no. No.",Dwight,True
1246,Your shirt is buttoned wrong.,Pam,True
1247,Who needs a new tractor anyway? Maybe we’re the kinda guys who end up with a tractor that’s already been rode hard and put away muddy.,Dwight,True
1248,"Erin, back row. Ryan, you move up a row!",Dwight,True
1249,"I am so sorry. I’m so sorry, sir.",Dwight,True
1250,Well I hope I make it.,Michael,True
1251,"Michael, we already have a Santa, Phyllis.",Pam,True
1252,Now how do you know how it works?,Jim,True
1253,Mmmhmmm.,Michael,True
1254,It happens occasionally.,Dwight,True
1255,"Yes. Ok, here is the dream team. My sales dream team. Today we are going to team up for sales calls. Andy, since this was your idea, you get to pick first.",Michael,True
1256,Ok.,Jim,True
1257,"Yeah, but I mean, look at the salary. And it’s definitely a step up. And a challenge.",Pam,True
1258,Who’s there?,Michael,True
1259,Didn’t think you’d notice…,Jim,True
1260,OK,Jim,True
