id,parent,reply,character
3847,Who else is he mean to?,"Everybody. He just, he’s always, he’s always talking about people behind their backs to me.",Michael
3848,Yeah?,"Y’know what, I’m the only one here who you haven’t asked about the new office.",Dwight
3849,It’s not. It’s different. But it’s a good book.,Mmwa. Mmwa.,Michael
3850,Come on. Tell me.,No.,Jim
3851,"Okay. All right everyone, meeting’s over.","Oh, I still have more.",Michael
3852,"Hi, Pam.","Yes. That is Josh and Dwight and Jim. Pam says hi. Have fun on your date! Very good, talk to you later. Bye.",Michael
3853,"Not important. Okay, alright. Yes. Yes, you have a job. Frankly, you have a job because Ryan and Pam are starting with us as salesmen.","Wait, what?",Dwight
3854,I want Michael to take me…,"I can’t take you, I don’t have my car and yours is all vomity.",Michael
3855,It says flavor: Blue Blast.,"Oh, Blue Blast. Yes, put that in the trunk, and there should be an unopened Arctic Chill back there. I want that in the passengers cupholder. Thank you.",Michael
3856,Oh you liked him? That’s nice. Did you like when he changed the course of American music like two or three times? Did you like that tracks of my tears is maybe the last true love song ever written? I’m glad you liked him Jim. I am completely devastated right now.,"Well, I second that emotion.",Jim
3857,Mmm.,Yum.,Dwight
3858,"Yeah, like a receptionist, but we call you the office manager because uh, it’s less demeaning. By the way, how long are these uh, cameras gonna be following you around? Because I think this is pretty cool. Pretty pretty cool. Larry David, Curb Your Enthusiasm. Do you like that show?",Yes.,Pam
3859,What should we be working on while you guys are talking?,"Do some… do some work. People expect a lot from these meetings. Laughter, sudden twists. Surprise endings. You need to be Robin Williams and M. Night Shyamalan. You need to be Robin Shyamalan.",Michael
3860,We work the same hours as you and you just said we work a lot harder,"Ah, you do. So…",Michael
3861,She wasn’t that hot.,"Yes, she was. Dammit, Kevin!",Michael
3862,Yep,"Today is press day and press is gonna make or break this store. And for a tech company, press can only mean one thing – bloggers. Dossier on bloggers. Bloggers are gross. Bloggers are obese. Bloggers have halitosis. You’re gonna love ‘em. Ryan is going to be the main event today. He is the pitchman who is going to give the feisty yet profound speech worthy of a world’s fair. Ryan, you ready to do this?",Dwight
3863,"Night, Pam.",Night.,Pam
3864,Like money? Like you– you want my money?,Mm-hmm.,Pam
3865,Because some people think you monopolize the conversation by trying to be funny.,Oscar?,Jim
3866,Gross.,"That’s not gross, it is the human body. What is your problem? Pam you’re an artist, right? Think of me as one of your models. OK, you know what, I don’t want this to detract from what we really need to be thinking about today, it’s not fair to people with rabies. And that’s the point, right? OK, let’s go have some fun.",Michael
3867,It’s seems like ya did though-,Oh?,Jim
3868,Oh my God!,Twelve drummers drumming.,Pam
3869,They call it Scranton!,What?,Dwight
3870,It’s the gas station on Benet Street?,Yeah.,Pam
3871,That’s a crazy amount of points.,"But, what if?",Jim
3872,Oh… I’m pacing myself.,Come on. Get out there. Give the people what they want.,Jim
3873,"You know, it’s amazing to me that in this day and age, you could be so obtuse about sexual orientation.","I watch the L Word. I watch, Queer as F***, so…",Michael
3874,This… You know this is a scale of one to ten?,Yeah.,Jim
3875,Can we not?,"No! Yes, we have to! You know why? Because I don’t like to be cooped up in that office! In that box! All day long. Heisman! Because I need to think. Okay, Jim? Oh, Kevin, oh! Nice catch. Mmmm, mmm, mmm,mmm. Os-car! Intercepted.",Michael
3876,Definitely. Look they got pillows. That. That’s bigger than my bed.,Word.,Dwight
3877,Queen bee.,"I’m just a bee, Dwight, ok, just a bee, just buzzin’.",Michael
3878,I didn’t order anything.,And I don’t have anything for you. But I do wanna talk to you about something. We have been thinking about where Packer should sit… And we can’t just sit around and wait for Creed to die.,Michael
3879,"No, it’s… involves the photograph.","Oh. God. No, no, no, no, no.",Michael
3880,Yeah. Every single day.,You never said anything.,Michael
3881,"Oh, what is that?",It’s a feral barn cat. I trapped him last night and I’m giving him to you as a replacement cat for the one I destroyed.,Dwight
3882,Front and Center. Twice as fast as you would normally go. Any other questions?,One more. Why are you talking like that?,Jim
3883,Yes!,"Hey, that is a really nice plane. You make that yourself?",Dwight
3884,"Very, very interesting. And you know what? I’m impressed.",He’s not a real candidate.,Jim
3885,No.,I’d think about it.,Dwight
3886,Pam Halpert.,Hey it’s Jim Halpert. I was wondering if you wanted to see a movie tonight. Because I’ve read a lot about this really great documentary.,Jim
3887,Hey! Back here.,"Oh, wow. Seriously? Oh my gosh, is that champagne?",Pam
3888,"Okay, okay…",A dog-like obedience to authority,Pam
3889,"Oh, thank god.",Excuse me?,Dwight
3890,"Ow, ow, ow, ow, you broke my hand.",There is no way that hurt.,Dwight
3891,Oh. They used worse paint than your paint?,"I don’t think so, but they put paint where I didn’t want paint. So…",Pam
3892,Michael.,Have a seat.,Michael
3893,Do it!,What kind of pizza would you like?,Jim
3894,Really?,Yeah.,Dwight
3895,It’s coming off anyway.,Clean sack.,Dwight
3896,David? David?,‘Cause I’ve got this idea…,Dwight
3897,Helene?,My mother.,Pam
3898,"Dwight, don’t be gross.","No, no, he’s right.",Pam
3899,I was just… I’m in love with you.,What?,Pam
3900,Yeah.,Role call.,Pam
3901,That we surgically remove the fear center from Michael’s brain?,What is wrong with you? I am talking about convincing Michael that the guy’s not mafia!,Dwight
3902,That just means you have to enter your password.,Oh…,Michael
3903,Who’s that?,...,Michael
3904,No me fault.,"Kevin, at most you’re saving a microscopic amount of time.",Pam
3905,I had some.,"Oscar’s pate is great. I could eat it all day, every day. Mmm. How come the good ones are never straight, right?",Pam
3906,"Hi, this is Pam. Leave a message.","Hey, it’s me. It is 5:03.",Jim
3907,You think we should have left our baby in the tub alone? Talk to me when you have kids.,Sounds good.,Jim
3908,"Alright. Well, Thank you.","First of all, Hank, how many orange traffic cones do you have?",Dwight
3909,"Twenty minutes a day Jim, that’s all it takes. Twenty minutes a day, all feet, no hands and I’ll have the pedi-dexterity of a chimp, and you’ll be sitting there like an idiot. Okay. Here we go. Ah, yes.",Do you mind?,Pam
3910,"Okay, I can’t find my keys! I cannot find my keys! Found ’em. They’re here.",Here we go!,Dwight
3911,Hey Pam. Would you like to go with me to grab a coffee?,Really?,Pam
3912,...,"I mean, it’s just that- You know, Pam and I are still dating, so, and, I just mean that things are going really well, so I didn’t want to see… you…",Jim
3913,Umm…,Dwight…,Dwight
3914,Michael? Are you done yet?,"Almost there. Just a sec. Just a second. It is perfect, thank you. Excellent, here we go. It is time, thank you. OK, come on. Let’s go! Get the cake. Here we go. Come on! Shhh. Be quiet.",Michael
3915,"Hey Dwight, what’s an auger used for?",Post hole digging.,Dwight
3916,And you know what? I even got two tickets to see the Counting Crows tonight as a surprise. Why do guys not call when they say they are gonna call?,"I dunno. I always call everybody back right away. He’ll call back though. Give him until the end of the day, he’ll call. If he doesn’t, he is loco.",Michael
3917,"They have this new kind of quick drying bonding, so…",Sounds like a good dentist.,Michael
3918,"By splitting the difference. Just… just, somewhere in the middle.",I think that’s probably all we need to hear from…,Jim
3919,I need new shoes.,"Oh, interesting, what kind of shoes?",Jim
3920,"It’s like child abuse. I say, if Jesus saw that, he’d freak out! He’d freak out, Toby! I mean on some levels… it’s… and I’m supposed to work there. I’m supposed…",What’s the dealio?,Michael
3921,Hi kids.,Yaaaaay.,Michael
3922,"No, it’s because you also have a lot of weaknesses, Michael!","Okay. Well, why don’t you tell me what those are, Jim? Why don’t you enliven me?",Michael
3923,"Ooh-hoo, look at that baby…",Stanley.,Dwight
3924,To madness.,"Hey, um, I think you parked my car in. Is there any way you can move your van?",Jim
3925,"Well, uh… see, you raised it.","Oh, did I? Oh, yes, I did.",Dwight
3926,Shh. Let’s not speak of that. The Pig Rib! We could totally break the pig rib! I’m gonna dig it out of the trash!,What happened? Did you miss your bus?,Pam
3927,"You know, it’s funny, I tried to get an animal olympics going.",Really? What happened?,Michael
3928,Is there anything I can do?,"Oh, gosh, what can anybody do, really? It’s… pssssh… . He was almost 70. Circle of life.",Michael
3929,Are you gonna eat with us?,"Of course. Hangin’ with my crew, crew that I am one of. Hangin’ with my Cup of Noodles. This is a meal in a cup.",Michael
3930,Blue.,Blue’s not a flavor.,Michael
3931,Yes.,"Alright, you drive.",Michael
3932,"Uh, oh, hey, do you have your quarterly numbers?","Yes, absolutely.",Jim
3933,What happened?,That a couple of times-,Pam
3934,This isn’t a handout club. It’s an investment club!,Okay.,Michael
3935,How much did you pay for it?,Not relevant.,Pam
3936,I’m ok. Feel a little lopsided because of all the blood they took out of my right side.,"No. No, I meant about being single today.",Michael
3937,In the middle of a work day?,"Naaah. You know what? Since I’m here, let me ask you a few questions about the job.",Michael
3938,"Michael, why would we all go to the dump?","Why? Because I am not going to call Sabre and say, ‘Hi, you know those very valuable expensive leads that you gave us earlier today? Well, because of a screw-up by a staff member, they’re now in the city dump.”",Michael
3939,Now.,"I have an assistant now, who can help you with whatever you need. He is lazy, so crack the whip.",Jim
3940,Little pick me up? Oh those are the best. Little sugar rush.,"When you were in the office earlier talking to Wallace, did I come up at all?",Jim
3941,Mmmkay…,What are you doing?,Michael
3942,Yeah.,Right. Let’s do some good.,Jim
3943,Thank you.,Yeah.,Michael
3944,Uh-huh. Seven nights in our street-view economy single?,That’s it!,Michael
3945,We were looking for “kitten.”,"Oh, hang on one second. Jim Halpert.",Jim
3946,No.,"This is a business question. It’s nothing personal, I promise.",Michael
3947,"Just one… Gah! Ah! Dwight, what the hell?","Apache persuasion hold, that’s the hell! What are you doing to my computer?",Dwight
3948,"Michael, we already have a Santa, Phyllis.",What the hell is going on?,Michael
3949,I won an art contest today.,No way! All right Pam. Congratulations.,Jim
3950,Oh my God.,What?,Michael
3951,Yes! Woo!,Woohoo! Yes!,Dwight
3952,Good. This is Brenda Matlow from corporate training.,Hello.,Michael
3953,Okay.,"Alright… Hey, did you change?",Jim
3954,"Oh and uh, Molly… I know it can’t be easy working for Jan. Good luck with your feelings.","Dwight, that was really nice. You should ask for her number.",Pam
3955,"Yes I did, I think Todd’s gonna make a great addition to the staff.",You did approve it?,Jim
3956,"They are women, right?",Oh! Wow! I didn’t say it! I didn’t say it!,Michael
3957,"Yeah, thanks.",We’ll go tell everyone.,Pam
3958,"Michael, the… that’s for your food.",Well I’ll just… I’ll use different money for that.,Michael
3959,Give me the phone.,I understand.,Dwight
3960,Are you kidding?,"If anyone can do this, you can do this.",Jim
3961,Pam.,"Because I’m so glad you’re back, baby, but I’m just—I was talking to Darryl, and he was talking about the trip, and I just feel like you’re giving up so much.",Pam
3962,"…that is more absorbent, and softer than toilet paper. I have a lot of toilet ideas.",That’s because they’re easy!,Dwight
3963,Michael.,…thing in the morning. Love to start my morning with a hearty bowl of Jan.,Michael
3964,"Thanks, Michael.",Don’t thank me. Thank Dylan’s mom. Here you go! Oh! Ooh Hoo Hoo Hoo hoo!,Michael
3965,I can do it.,Mmm! There we go.,Dwight
3966,"I assume your primary paper needs are stationary, general office.","You know, I will be honest with you… about something. Where we used to live, our paper supplier had a lot of big clients and I just didn’t feel like a priority. So I guess my question for you would be how many clients do you have?",Michael
3967,OK I think Oscar would just like if you used “lame” or something like that.,That’s what faggie means!,Michael
3968,Yeah right.,Ah! There’s my popcorn. Can you just grab that for me?,Jim
3969,You’re eating eight year old tomatoes?,They’re still good for another week.,Dwight
3970,Excuse me.,"Excuse me Ah, un guard. Family style.",Michael
3971,So you can’t pay for your food?,"Well I can, but I will have to come back later tonight and pay you. But the point is I did the right thing.",Michael
3972,‘Cause I’ve got this idea…,David?,Michael
3973,I don’t says those kinds of things out loud. It’s inappropriate.,"Okay, I’ll talk. You nod if I get it right. Does it have to do with his butt or his wiener?",Dwight
3974,What are you doing?,You said you didn’t know how to say it.,Dwight
3975,You don’t even drink tea.,"True. But I get sinus infections, and sinus infections can be cured by making your tea from green tea leaf stems ..",Dwight
3976,Wow. How many filet-o-fishes did you eat?,"That’s over several months, Ryan.",Michael
3977,My lips are sealed. My lips are sealed… Bangles.,Alright. Great. Thank you.,Jim
3978,"Pam, will you marry me?",Oh my God!,Pam
3979,So you’re not doing it.,How did you know?,Pam
3980,Fine.,Good. Okay.,Michael
3981,I was just getting a snack.,You can have your snack in here.,Pam
3982,"A sensitive email has been released to the office. It contains a file, a picture. The file name is “Jamaican Jan Sun Princess.”",What’s it of?,Dwight
3983,Did you do her?,This is none of your affair because she is your boss-,Michael
3984,Don’t you want a sheath for that?,"No, just get me a case. All right.",Michael
3985,I thought Nana raised some good questions. What kind of a name is Nana?,It means grandmother.,Pam
3986,"You wanna talk now, good; OK, Dwight, leave.","Uh, wait, I would like to discuss my raise?",Dwight
3987,I humbly accept the management position.,I… Why would you just say something like that?,Jim
3988,There you go.,"Wait, wait a minute, what’s this, I didn’t order this?",Dwight
3989,She’s got mean eyes.,Have you seen her with her bangs?,Pam
3990,I haven’t been to New York in a long time.,"Mm, the Big Apple.",Michael
3991,"You know what? That is a great idea. Cathy, write that down and print it out. It’s gonna make some really good toilet paper.",All right. There he is.,Jim
3992,"Whoa, fire!","Oh, fire! Oh my goodness! What’s the procedure? What do we do, people?",Dwight
3993,Whassup!,Whassup! I still love that after seven years.,Jim
3994,"Baby, don’t hurt me!",Oh! Oh! Oh!,Michael
3995,"I’m the same age as you, Michael.",I don’t know about that.,Michael
3996,Family picture!,Pam? No!,Jim
3997,Just now.,"What? Oh no no no. Dwight, no. I’m using her, for the alliance. Who knows the most information about this office? Pam.",Jim
3998,"Go, go! Take the stairs! Now!",What are you talking about?,Jim
3999,Do you like The Hives?,Yes. God. They’re awesome.,Michael
4000,"Where you come from, and who you are.",Ok.,Michael
4001,How long have you been married to the cheerleader?,"Oh! She’s not a cheerleader. She thought this was a costume party! Um… no, we’re not married… yet!",Michael
4002,Helene.,Helene?,Michael
4003,"Black Bears can smell a salami at five miles Michael, what are you thinking?! And they run faster than a horse, so if you were thinking about outrunning one on a horse I would try a cheetah. You, in tight pants, Michael, are a salami to a Black Bear. Do you understand? You’re like a giant walking salami!","Okay, so no salami in the pants. How about a pepperoni?",Michael
4004,We did it? We did it.,We did it!,Dwight
4005,"Gotta go, VIP just walked through the door.","How are you, Isaac? You have something in your ear.",Pam
4006,"Okay, alright.","You were being really funny, and then you went too far.",Dwight
4007,for the tasty bread.,They call it Scranton!,Michael
4008,"Oh, this looks promising.",You won’t be disappointed.,Pam
4009,I’m the owner. The co-owner. With Satan!,"Okay, just so I understand it, in your wildest fantasy you are in Hell and you are co-running a bed and breakfast with the devil?",Jim
4010,There we go.,Just do it.,Jim
4011,"Two are in the Marines, one’s a cop.",Vegetarian?,Dwight
4012,You said it would be ready by today. And it is today.,It’ll be ready soon.,Pam
4013,MmMm.,Ferris Bueller.,Jim
4014,It comes to $166.41.,"All right, now, you’re the expert. Is this enough to get 20 people plastered?",Michael
4015,That’s not what a hate crime is.,"Well I hated it! A lot! Okay, I… you know what? If the guilty person would just come forward and take their punishment, we’d be done . Very well. Then you are all punished.",Michael
4016,"Um, what, ah, what is, I mean…","…come on, Jan!",Michael
4017,"Number two: You’re desperately trying to fit in a whole relationship before Toby comes back from jury duty and Holly has to go back to Nashua. Or three: You’re at an age where your sexual climaxes aren’t as powerful so you need to overcompensate with foreplay, taboo behavior.","Yes, it was that. It’s that one.",Michael
4018,"Oh, wow.",...,Pam
4019,You made a big mistake. Huge!,There it is. Alright.,Jim
4020,"Hi, Michael, hi, Michael",Okay. Okay. Okay.,Michael
4021,"No, no, no, no…",I’m goin ‘in!,Michael
4022,"Oh yeah… Wait a minute, you… broke off our wedding for the guy.","No, there were a lot of reasons.",Pam
4023,"Once it’s all over your head, just leavr it there for four hours. That will be enough time for the lice to fall asleep, suffrocate, and then pass away.","Oh sure, and when you’re ready to get serious, come to me to get it done right.",Dwight
4024,"Unfortunately, I’ve got plans. I have to go to practice. Soccer practice.","I didn’t know you played soccer, Dwight.",Michael
4025,Do you have any leads on a job?,"Pam, what you don’t understand is that at my level you just don’t look in the want-ads for a job. You are head-hunted.",Michael
4026,Oh okay. That’s enough.,is a guy that…,Michael
4027,"No, I don’t know.",Do you think I’ll get any new ones? I could…,Michael
4028,I know…,Did you break the shredder Kevin?,Jim
4029,It’s the lining of the stomach of–,"Ohh… Judgment is nigh, for the belsnickel ist I!",Dwight
4030,"Hi! Hey, do I look ok?",You look great.,Jim
4031,"Ooh, spooky. But why?",Because the insurance company only covers two nights.,Jim
4032,"Brainstorming session is now open. Anyone has an idea- Hold on. Sorry, sorry, sorry. Hello?","Hey, it’s Jim. Listen, this is important. Are you busy?",Jim
4033,Yeah me too.,You doubt it?,Pam
4034,You’ve seen one of these?,"Yeah, they’re like an i-Pod only they’re better ’cause they’re chunkier and more solid.",Dwight
4035,Dwight couldn’t get it up for Nellie?,"No, no, no, no, no, It’s not me. I’m gonna prove it right here and now.",Dwight
4036,I think you are wrong.,And there are a lot of other people in this office who have money at stake. Other people you care about.,Pam
4037,You’re not the manager even in your own fantasy?,I’m the owner. The co-owner. With Satan!,Dwight
4038,"Hey, congratulations on that black belt, man. It’s really great.",Thank you. So I saw you talking to Wallace earlier. Is he going to offer you the manager’s job?,Dwight
4039,Oh shoot! That’s my cab.,Alright.,Jim
4040,Oh!,And we are going to straighten this out.,Michael
4041,It’s a… it’s a very nice car.,You’re not going to freak out?,Jim
4042,"It doesn’t matter, Michael.","Yes, it does. No, this is about weight displacement. We have to have the same weight distribution. Right here. Here we go. Let’s move that up. Here we go.",Michael
4043,Pretend? Or really make one?,Really make one.,Dwight
4044,Good energy,It’s going to be good to have someone hot at Pam’s desk huh?,Pam
4045,"Oh, some guy exposed himself to Phyllis in the parking lot.",Really? Is she OK?,Michael
4046,"Toby, why don’t you open your present?","Oh, no no no, no, no. No, this-hey, hey, hey, hey, this might not be what I think… that I don’t even know is in there, because there are a lot of presents in my car, and I don’t know which is which…",Michael
4047,"Whoa, no, no. That’s overdoing it, I think.","Oh, hi Stanley.",Pam
4048,"So this whole hit and run thing, there’s just one part I can’t figure out. You said it was at a four-way stop…",Mm-hmm.,Jim
4049,Okay. How about skeet Schruteing?,Did you just come up with that?,Jim
4050,Smart.,And the rest was just stuff.,Dwight
4051,"Hey, hey.",Hey. What…,Michael
4052,"I know, but it’s gonna be a little tough because there’s no good place to hide there.","No no, yes there is. Behind the shelves. Oh my God.",Dwight
4053,"Well, I’m moving to Colorado to start my new life with Holly. Just up here, getting used to the altitude.",Michael?,Dwight
4054,That doesn’t matter.,What position did you use to conceive?,Dwight
4055,Not with your hands.,They need to be presented… royally… anyone?,Michael
4056,Whoohoo! Pammy?,Hey! Hey. Happy birthday.,Pam
4057,Hey.,Hey.,Jim
4058,"Oh, so an aquarium. Ah, that will not come into this place.",Question. My grandparents left me a large number of armoires.,Dwight
4059,I’m sorry?,I used to be in HR. I was a Hell raiser.,Michael
4060,Hey there.,Hey.,Michael
4061,"Oh, hey Michael! I’m just going to go to Carbondale to price some shredders. I’ll see you later.",Okay…,Michael
4062,"I, uh, I met a man and I’m totally in love, and that’s a chapter of my life that I thought had closed. Uh, I was terribly depressed for the longest time and I have to admit I had some very dark thoughts…","Good. Good, good, good. That’s good. Now see, that’s not so hard, right? All right. Who’s next? Who are we going to… Ryan. Ryan’s next.",Michael
4063,"Ah-ah-ah- your drive, your ambition. It would be wasted on a manager’s job. And Florida, you don’t want to live here. Even I don’t want to live here. That’s why I’m always at my place in Scranton. Florida is America’s basement: It’s wet, it’s filled with mold, strange insects, alligators. Alligators are dinosaurs, Dwight. You know that, right?",N… it’s complicated.,Dwight
4064,The space dust does it.,Space dust.,Jim
4065,Really shove it.,You’ll break it.,Michael
4066,I hope he’s gets hit with an ageism suit.,What is that… word?,Michael
4067,Jan called. She’s coming in later to talk to you.,Did she say what it’s about?,Michael
4068,No.,I’m cashing in the favor. Fire him.,Dwight
4069,See? That’s how you do it! Makin’ progress here. …Darn! Heh.,There’s a hose out back.,Dwight
4070,"Well, those things that you consider doodles, I consider art.",Where’d you put it?,Pam
4071,And what kind of stripper did you get?,I did not order a stripper.,Michael
4072,"This is the kind of thing, you know? I am… attracted to you. I, I don’t know why, I… but, I am. And, I need to follow my instincts. At least that’s what Dr. Perry thinks.",Who is Dr. Perry? I…,Michael
4073,"I, did I sell cheap printers? I do. But if I have to go out there in front of the press and make one of them public apology recalls, I mean, it’s all I’ll ever be remembered for. Nobody will want to play with my Barbie.","You know, I would be willing, under the right circumstances, to do that for you.",Michael
4074,AJ gave me that.,"Well, that’s understandable. Still raw. Woody your favorite character?",Michael
4075,Yes?,This is a pill that I found here in the office. But it’s not for worms or eczema like any normal pill. It’s not for any disorder of the body. It’s for a disorder of the mind.,Dwight
4076,"I don’t know what to do! Do I go tell Jo, or – I don’t want everyone to keep blaming the wrong person!","I don’t know what the best plan is, Pam. Oh god… my mind is going a mile an hour.",Michael
4077,"Yeah, get your hazards on for safety. Let’s see. There we go! Good. Yes, we have the… all right.",I think I’ve got it.,Pam
4078,Michael.,"Actually, I put diesel in this time, trying to save some money.",Michael
4079,Okay.,Does it specify which windshield?,Dwight
4080,"I don’t wanna be the heavy here, but honestly, guys, this makes us all look bad.",Sorry about that.,Jim
4081,"I shouldn’t tell you this, but… AJ won’t commit to Holly. And she’s gonna tell him that if he doesn’t propose to her by the end of the year, it’s over.",Really?,Michael
4082,Oh. She left.,"OK. Oh, wait a second, wait a second, that’s hers. This is hers, she left her glove. I need her name if I’m gonna return her glove.",Michael
4083,Would the family care to say something?,You had black hair and then gray hair.,Dwight
4084,Tablab.,"Oh my God, are you alright? Erin, will you call 911 please?",Jim
4085,Aye.,The aye’s have it.,Michael
4086,"What? Oh, shoot. Wow. Okay, well, who cares? It doesn’t matter what I spent. What matters is that Christmas is fun, right?",Michael.,Dwight
4087,"Aw, that sounds like a lot of fun.","It’s the best. It’s the best. I would not miss it for the world. But if something else came up, I would definitely not go.",Michael
4088,"He’ll call you back. OK, great.",She bought it? OK. OK.,Michael
4089,What consequences?,I will tell on you.,Dwight
4090,"Pam, really, they’re back?",I can’t see them when they’re on the floor,Pam
4091,"Well, we could try him out for a little while… and if it doesn’t work out, you know, maybe one of us could, you know, step in…",What is happening right now?,Jim
4092,"Oh, God!",Oh…,Dwight
4093,Thank you.,My girls. There they are.,Michael
4094,Damn it guys!,"Dwight, could you move over a little bit.",Michael
4095,"Hehehe, cool. Let’s keep this on the QT, okay? I uh, I don’t want you to be a dead mamma jamma.",Great.,Pam
4096,I’m in it to win.,Game on!,Dwight
4097,It’s supposed to say launch!,"Okay, wow! Easy, booster seat, nobody cares about this party anyway.",Michael
4098,What are you talking about? You’re the one terrorizing me.,"With snowballs, Jim? With fluffy little snowballs? No. I thought we were just playing.",Dwight
4099,You didn’t want me before. That’s what you said.,"No, I didn’t. You misconstrued me.",Michael
4100,Mind if I get in there for a second?,"Oh, sure thing, go ahead.",Dwight
4101,"Behind every great regional manager is a great assistant to the regional manager, and I have chosen one of the best.","Aw, thanks, man.",Jim
4102,Where’s Dwight?,"You okay, man?",Jim
4103,Agreed?,"Agreed. But that’s all, okay.",Pam
4104,"Dwight!? Great goin’. God, Man! Why did you go in there? What… Everybody was scared out of their wits, man? Oooh.","Everyone, okay? Uh, I have an announcement. Apparently, in business school, they don’t teach you how to operate a toaster oven. Because some smart, sexy temp left his cheese pita on oven instead of timing it for the toaster thing.",Dwight
4105,Yeah. I have my copies.,There they are.,Jim
4106,I think you can. I… what?,I don’t know if I can do that. I can’t see myself spending the next six years digging myself out of that kind of hole.,Michael
4107,Don’t answer it.,"OK, it stopped.",Michael
4108,Ow! God!,"Okay, give it to me. You don’t know what you’re doing. All right.",Michael
4109,The new guys. Dwight Jr is after my job. Yeah. There is a shark hiding inside that adorable little cherub.,"Oh, now I get what Pete was talking about at the sales meeting yesterday.",Jim
4110,Oh! Hire a magician.,What?,Pam
4111,No… I didn’t steal your joke.,Yes. I said that yesterday.,Michael
4112,Thank you so much Tuna Turner. You are simply the best.,"Listen, this isn’t a favor, all right? This is a good idea. We all win.",Jim
4113,"Yes, they can.","Oscar, you don’t know what the hell you are talking about.",Michael
4114,Jim uses a 6 pound ball.,"That is a lie, that is a lie.",Jim
4115,Go get ’em Dwight.,Wish us luck!,Jim
4116,It’s the ladies’ room.,"Just go and find out what it says and who said it and report back to me. But don’t tell anybody that I have anything to do with it because if they ask me, I will say that you are crazy.",Michael
4117,Could you please keep it down? I’m in session. I’ve determined that this committee is valid.,"No no, no, wait, wait, wait Permission to join the Validity Committee.",Dwight
4118,David Wallace has asked me to come down here and see if you would be interested in Dunder Mifflin buying you out.,Seriously? Are you being serious?,Pam
4119,That’s good.,I bet. Are these guys boring your ears off?,Michael
4120,"Pam-casso! Sorry I’m late, I had to race across town.","Oh, Michael.",Pam
4121,"Okay people, listen up, I have an announcement to make, fraud was committed…","Okay everybody, I have an announcement to make… whoa do you have an announcement?",Michael
4122,Uh-huh.,I’m not going to Utica right now.,Jim
4123,She asked me for a ride and so I am going to give her a ride home.,Is that all it is? Just a ride home? Like a taxicab?,Dwight
4124,It’s Kevin as Cookie monster from Sesame Street.,Is that the program where all those puppets live in the barrio?,Dwight
4125,You have to tell him. You have to tell him what you did.,"No, no, no. That is not part of the plan. That is actually anti-what we’re doing.",Dwight
4126,Okay hush now.,Okay.,Michael
4127,Good me too!,You know who my favorite character is? The invalid. I am coming to your party.,Michael
4128,"Come on, hurry up you guys!","My life! Oh, my life…",Michael
4129,"Well now hold on it, it-",What are you doing?,Pam
4130,"Right, of course!","And, I haven’t gotten paid yet. I’m not blaming you.",Pam
4131,"It’s not a large room, I think they heard me.","Take my belt, master. I now submit to you every part of myself.",Dwight
4132,"Look, it has sentimental value, Dwight. Can I buy it from you?",No. I want it. I’m going to use it.,Dwight
4133,"He’s stealing them. Okay, okay.",Oh my God.,Pam
4134,Definitely.,Ok.,Jim
4135,Come one. Nobody’s looking. What’s wrong?,I haven’t thought about you having to go back to Nashua.,Michael
4136,"I did, yeah.",How much?,Pam
4137,Yes.,No way.,Jim
4138,"Pam I have a loaded gun in my desk at work. If I ever start acting like that weenie Gabe I want you to take that gun, and I want you to shoot me like a hundred times in the groin until I’m dead. Okay?",You have a gun in your desk?,Pam
4139,"Well, you know, Stanley was openly insubordinate.",That? In the conference room?,Michael
4140,Isn’t our interview tomorrow?,"Yes. I just happened to be in the neighborhood, thought I’d drop in and say hello.",Michael
4141,In this climate?,Yeah. In all climates. It’s going to be worldwide. And I’m looking for some talented salesmen to join me. That’s where you come in.,Michael
4142,"So what is going on, girl in the computer?",Lunch with a girl from my hall.,Pam
4143,What?!,I’m the one who complained about you.,Jim
4144,Is that a real fun shooting windmill?,"Stop! Stop! Stop! Yes! That is, uh, Edward R. Meow.",Michael
4145,Yeah.,"So what are our options? Well, we can start this paper company. We can try. Or… that’s it. That’s our only option. Because we quit. Pam, I do my best work when people don’t believe in me. I remember in high school, my math teacher told me I was gonna flunk out. And know what I did? The very next day I went out and I scored more goals than anyone else in the history of the hockey team. See what I mean? I thrive on this. I thrive on it. So I’m gonna go inside. I’m going to make some calls, I’m gonna get us an office space, and I’m going to show you why you joined this company. Okay?",Michael
4146,I got it. No problem.,Do you see it?,Michael
4147,How much time do I have?,"Jim, Michael’s office.",Dwight
4148,"Well, if I may, you’re a natural.","Thank you. I mean, I’ve rehearsed it in my head like 1,000 times, but, uh…",Dwight
4149,"Um, that’s all we brought.",This is all we need.,Michael
4150,Are you sure?,"Mmm, yeah.",Michael
4151,He’s gonna ruin everything.,"Oh, my God. His letter of recommendation from Rick Santorum is three fifty-dollar bills.",Pam
4152,It’s got you.,It’s got a lot of me.,Michael
4153,"Here it is, here it is… truck, to refrigerators, to dumpster, 360 onto the pallets, backflip gainer to the trash can.",Yeah! Gainer! Woohoo!,Michael
4154,Hey Pam.,Yeah?,Pam
4155,"Yes, we are unveiling, an artificial tree, that will never die…",Yes.,Jim
4156,"And I used to say “Hey, got latte?” And she’d say, that’s not funny.",What are you guys talking about?,Dwight
4157,Yeah…,"Alright. I’ll call you, kid.",Dwight
